ComponentName, StatisticName, StatisticSubId, StatisticType, SimTime, Rank, Sum.u64, SumSQ.u64, Count.u64, Min.u64, Max.u64
cpu:customhandler, calls-to-rand, , Accumulator, 6978909915, 0, 261918, 261918, 261918, 1, 1
cpu:customhandler, calls-to-rseed, , Accumulator, 6978909915, 0, 0, 0, 0, 0, 0
cpu, cycles, , Accumulator, 6978909915, 0, 16735995, 16735995, 16735995, 1, 1
cpu, instructions, , Accumulator, 6978909915, 0, 3538531, 3538531, 3538531, 1, 1
cpu, mem-reads, , Accumulator, 6978909915, 0, 262150, 262150, 262150, 1, 1
cpu, mem-writes, , Accumulator, 6978909915, 0, 393219, 393219, 393219, 1, 1
l1cache, prefetch_opportunities, , Accumulator, 6978909915, 0, 203522, 203522, 203522, 1, 1
l1cache, prefetches_issued, , Accumulator, 6978909915, 0, 115008, 115008, 115008, 1, 1
l1cache, prefetches_canceled_by_page_boundary, , Accumulator, 6978909915, 0, 3167, 3167, 3167, 1, 1
l1cache, prefetches_canceled_by_history, , Accumulator, 6978909915, 0, 88514, 88514, 88514, 1, 1
l1cache, Prefetch_requests, , Accumulator, 6978909915, 0, 115008, 115008, 115008, 1, 1
l1cache, Prefetch_drops, , Accumulator, 6978909915, 0, 5, 5, 5, 1, 1
l1cache, TotalEventsReceived, , Accumulator, 6978909915, 0, 1043377, 1043377, 1043377, 1, 1
l1cache, TotalEventsReplayed, , Accumulator, 6978909915, 0, 3, 3, 3, 1, 1
l1cache, TotalNoncacheableEventsReceived, , Accumulator, 6978909915, 0, 0, 0, 0, 0, 0
l1cache, CacheHits, , Accumulator, 6978909915, 0, 497372, 497372, 497372, 1, 1
l1cache, GetSHit_Arrival, , Accumulator, 6978909915, 0, 117463, 117463, 117463, 1, 1
l1cache, GetXHit_Arrival, , Accumulator, 6978909915, 0, 379906, 379906, 379906, 1, 1
l1cache, GetSXHit_Arrival, , Accumulator, 6978909915, 0, 0, 0, 0, 0, 0
l1cache, GetSHit_Blocked, , Accumulator, 6978909915, 0, 3, 3, 3, 1, 1
l1cache, GetXHit_Blocked, , Accumulator, 6978909915, 0, 0, 0, 0, 0, 0
